Stop ID,Stop Abbreviation,Stop Name,Shelter?,Bench?,Route Numbers,Route Name,location,lat,lng
4478,SOUPREON,SOUTH PRECINCT,FALSE,FALSE,52,NOLENSVILLE PK BRT LITE,"(36.182529, -86.847711)",36.182529,-86.847711
115,21AACKSF,21ST AVE S & ACKLEN AVE SB,FALSE,FALSE,7,HILLSBORO,"(36.263377, -86.757368)",36.263377,-86.757368
3119,32ABATNN,32ND AVE N & BATAVIA ST NB,FALSE,FALSE,19,HERMAN,"(36.175891, -86.809247)",36.175891,-86.809247
5361,MASKIPNF,MASSMAN DR & KIPLING DR NB,FALSE,FALSE,77,THOMPSON CONNECTOR,"(36.044851, -86.667224)",36.044851,-86.667224
2761,CLA24AEN,CLARKSVILLE PIKE & 24TH AVE N EB,FALSE,FALSE,21,UNIVERSITY CONNECTOR,"(36.170385, -86.653513)",36.170385,-86.653513
5311,MUR22AEN,MURPHY & 22ND AVE EB,FALSE,FALSE,25,MIDTOWN,"(36.145741, -86.764971)",36.145741,-86.764971
4294,HPKL,HAYNES PARK DR & KINGS LN NB,FALSE,FALSE,22,BORDEAUX,"(36.140894, -86.882835)",36.140894,-86.882835
4989,HUNYOEEN,HUNTERS LN & YOEST DR EB,FALSE,FALSE,43,HICKORY HILLS,"(36.048729, -86.716298)",36.048729,-86.716298
3942,BELHBRNN,BELL RD & HARBORWOOD DR NB,FALSE,FALSE,38,ANTIOCH EXPRESS,"(36.131413, -86.801376)",36.131413,-86.801376
1219,JEF21AWM,JEFFERSON ST & 21ST AVE N WB,FALSE,FALSE,"21,60",UNIVERSITY CONNECTOR,"(36.155386, -86.811814)",36.155386,-86.811814
2627,CHA53AWN,CHARLOTTE AVE & 53RD AVE N WB,FALSE,FALSE,10,CHARLOTTE,"(36.148937, -86.703446)",36.148937,-86.703446
1335,LEBOMOWN,LEBANON PIKE & OMOHUNDRO PL WB,FALSE,FALSE,"34,6",LEBANON PIKE,"(36.136966, -86.700464)",36.136966,-86.700464
4585,GXIDUESN,DUE WEST STATION INBOUND,TRUE,FALSE,"26,56",GALLATIN PIKE,"(36.175819, -86.754419)",36.175819,-86.754419
1427,MCFCARSN,MCFERRIN AVE & CARTER ST SB,FALSE,FALSE,30,McFERRIN,"(36.239673, -86.768103)",36.239673,-86.768103
5207,BATMEASN,BAPTIST WORLD CENTER DR & MEADE DR SB,FALSE,TRUE,14,WHITES CREEK,"(36.161206, -86.784363)",36.161206,-86.784363
3037,16SWOOSN,16TH ST & WOODLAND ST SB,FALSE,FALSE,4,SHELBY,"(36.134902, -86.741383)",36.134902,-86.741383
1721,OLDHINSM,OLD HICKORY BLVD & HINDU TEMPLE SB,FALSE,FALSE,24,BELLEVUE EXPRESS,"(36.236671, -86.803279)",36.236671,-86.803279
174,MXIFULTN,FULTON STATION INBOUND,FALSE,FALSE,"15,52,55",MURFREESBORO PIKE,"(36.168599, -86.792855)",36.168599,-86.792855
1791,POWBRASN,POWELL AVE & BRANSFORD AVE,FALSE,FALSE,17,12TH AVENUE SOUTH,"(36.145405, -86.626133)",36.145405,-86.626133
5106,MCGGALWN,MCGAVOCK PIKE & GALLATIN PIKE WB,FALSE,FALSE,4,SHELBY,"(36.194424, -86.743527)",36.194424,-86.743527
